SK_ID_CURR,TARGET
100001,0.43685910092478253
100005,0.722013422525681
100013,0.20934334503646135
100028,0.43381573154987985
100038,0.5672214803368993
100042,0.25973353131627974
100057,0.2758122042446607
100065,0.6109406831668349
100066,0.20386238925797417
100067,0.5971155772144046
100074,0.42539957288457725
100090,0.6005036950251142
100091,0.6194022206500996
100092,0.6089793073818397
100106,0.4683459127313652
100107,0.616993345625213
100109,0.43702043845247407
100117,0.242551557171618
100128,0.5076709109498868
100141,0.29717616489519283
100150,0.2849340633045022
100168,0.09435607894020533
100169,0.4275892991768836
100170,0.49853356320998743
100171,0.32034291869004555
100172,0.5853447857583861
100184,0.5518135209780267
100187,0.3968321942850544
100212,0.41861367861707416
100222,0.47699030809814275
100223,0.1805242333663827
100232,0.21339591950783074
100241,0.6891381926321519
100245,0.3247536247639783
100253,0.23676870403188136
100256,0.7003336515019944
100271,0.11810600321359077
100278,0.6926071031171988
100280,0.2267151308256032
100306,0.7173383724982791
100311,0.7841219724026387
100312,0.2659630922573917
100330,0.44413402990130463
100331,0.2601451886758684
100352,0.5672950887073447
100358,0.6401762574088234
100367,0.3576477626142128
100382,0.7218201713515034
100384,0.41332265394150286
100385,0.6583017384092826
100386,0.33805007148081895
100399,0.30418405406821136
100404,0.4753402787939628
100416,0.13431718694195444
100422,0.5174427821959224
100426,0.41671445217682024
100438,0.30832442284261236
100444,0.661797455230048
100445,0.6172960297459933
100446,0.5742950590820199
100447,0.20301857640989637
100450,0.3915666123250342
100466,0.45091702539933803
100483,0.29048900435881553
100484,0.23164483677923936
100494,0.42324059121757884
100510,0.6795859489988753
100512,0.25716719362344037
100517,0.2983758194379616
100548,0.3384493426662902
100551,0.3797341042075813
100552,0.6239623346758112
100553,0.23161247551829467
100561,0.82489186718412
100568,0.9089144961041147
100569,0.2457218037283286
100591,0.3953161986729648
100592,0.17843333264718417
100602,0.4274531402955508
100607,0.38486000496616773
100613,0.476068717213683
100617,0.6165752027426294
100618,0.5248517666089387
100622,0.7649518524970031
100625,0.4343752998963103
100677,0.6193902221184143
100699,0.41957867278009653
100702,0.9232532809474987
100711,0.5336141291548934
100729,0.7463378661513382
100740,0.6194708212676967
100744,0.6061504806628989
